,J_Geral,BGA_Geral,Pixel,Ch_bool,Channel,X,Y
6,16,CH19,G8,True,CH19,8,7
7,26,CH25,F8,True,CH25,8,6
8,14,CH17,H8,True,CH17,8,8
9,28,CH24,E8,True,CH24,8,5
10,12,CH18,H7,True,CH18,7,8
11,30,CH26,E7,True,CH26,7,5
12,10,CH16,G7,True,CH16,7,7
13,32,CH28,F7,True,CH28,7,6
26,24,CH22,G6,True,CH22,6,7
27,36,CH29,F6,True,CH29,6,6
28,22,CH23,H6,True,CH23,6,8
29,38,CH30,E6,True,CH30,6,5
30,20,CH20,H5,True,CH20,5,8
31,40,CH31,E5,True,CH31,5,5
32,18,CH21,G5,True,CH21,5,7
33,42,CH32,F5,True,CH32,5,6
46,19,CH12,G4,True,CH12,4,7
47,43,CH27,F4,True,CH27,4,6
48,21,CH5,H4,True,CH05,4,8
49,41,CH11,E4,True,CH11,4,5
50,23,CH14,H3,True,CH14,3,8
51,39,CH2,E3,True,CH02,3,5
52,25,CH7,G3,True,CH07,3,7
53,37,CH13,F3,True,CH13,3,6
66,11,CH1,G2,True,CH01,2,7
67,27,CH8,F2,True,CH08,2,6
68,13,CH0,H2,True,CH00,2,8
69,29,CH15,E2,True,CH15,2,5
70,15,CH10,H1,True,CH10,1,8
71,31,CH6,E1,True,CH06,1,5
72,17,CH3,G1,True,CH03,1,7
73,35,CH4,F1,True,CH04,1,6
86,60,CH40,C8,True,CH40,8,3
87,76,CH49,B8,True,CH49,8,2
88,58,CH41,D8,True,CH41,8,4
89,74,CH48,A8,True,CH48,8,1
90,54,CH39,D7,True,CH39,7,4
91,72,CH47,A7,True,CH47,7,1
92,52,CH37,C7,True,CH37,7,3
93,70,CH45,B7,True,CH45,7,2
106,50,CH35,C6,True,CH35,6,3
107,68,CH46,B6,True,CH46,6,2
108,48,CH36,D6,True,CH36,6,4
109,66,CH44,A6,True,CH44,6,1
110,46,CH33,D5,True,CH33,5,4
111,64,CH42,A5,True,CH42,5,1
112,44,CH34,C5,True,CH34,5,3
113,62,CH43,B5,True,CH43,5,2
126,45,CH38,C4,True,CH38,4,3
127,63,CH52,B4,True,CH52,4,2
128,47,CH9,D4,True,CH09,4,4
129,65,CH51,A4,True,CH51,4,1
130,49,CH62,D3,True,CH62,3,4
131,67,CH54,A3,True,CH54,3,1
132,51,CH58,C3,True,CH58,3,3
133,69,CH53,B3,True,CH53,3,2
146,53,CH61,C2,True,CH61,2,3
147,71,CH56,B2,True,CH56,2,2
148,57,CH59,D2,True,CH59,2,4
149,73,CH55,A2,True,CH55,2,1
150,59,CH50,D1,True,CH50,1,4
151,75,CH60,A1,True,CH60,1,1
152,61,CH57,C1,True,CH57,1,3
153,77,CH63,B1,True,CH63,1,2
